Layer,Weights
conv2d_1,-0.09678597
conv2d_1,0.12332428
conv2d_1,-0.13549092
conv2d_1,0.17146146
conv2d_1,-0.15728535
conv2d_1,-0.22690426
conv2d_1,0.029924119
conv2d_1,0.0803643
conv2d_1,-0.050420273
conv2d_1,-0.14447072
conv2d_1,0.1489124
conv2d_1,0.10639092
conv2d_1,-0.2545365
conv2d_1,-0.1369514
conv2d_1,-0.13443457
conv2d_1,-0.019333988
conv2d_1,0.09525953
conv2d_1,0.06609115
conv2d_1,0.14353442
conv2d_1,-0.06645932
conv2d_1,0.05642721
conv2d_1,-0.010930634
conv2d_1,0.26679885
conv2d_1,-0.16058958
conv2d_1,0.031382054
conv2d_1,-0.06610593
conv2d_1,-0.016287379
conv2d_1,0.19183418
conv2d_1,-0.002342845
conv2d_1,0.22643082
conv2d_1,-0.08403393
conv2d_1,0.11021215
conv2d_1,-0.19733094
conv2d_1,0.06797671
conv2d_1,-0.12775491
conv2d_1,0.056100663
conv2d_1,-0.065087736
conv2d_1,-0.19578186
conv2d_1,-0.065794915
conv2d_1,-0.05085217
conv2d_1,-0.1936287
conv2d_1,-0.12364437
conv2d_1,-0.08461746
conv2d_1,0.087798536
conv2d_1,-0.20088616
conv2d_1,-0.13150328
conv2d_1,-0.09357793
conv2d_1,-0.06920165
conv2d_1,0.041016437
conv2d_1,0.12596135
conv2d_1,-0.02620136
conv2d_1,-0.057531074
conv2d_1,-0.13478275
conv2d_1,-0.07032552
conv2d_1,0.25305346
conv2d_1,-0.14490233
conv2d_1,0.07295928
conv2d_1,0.0042522475
conv2d_1,0.034215685
conv2d_1,0.004542517
conv2d_1,-0.025337473
conv2d_1,0.11535008
conv2d_1,0.07195544
conv2d_1,-0.076346606
conv2d_1,-0.16169024
conv2d_1,0.032739706
conv2d_1,-0.06521565
conv2d_1,-0.16759317
conv2d_1,-0.080393955
conv2d_1,0.06494645
conv2d_1,0.15897332
conv2d_1,0.04412238
conv2d_1,-0.008896684
conv2d_1,-0.023386145
conv2d_1,-0.06067855
conv2d_1,-0.055033498
conv2d_1,-0.14387497
conv2d_1,-0.12239315
conv2d_1,-0.07199088
conv2d_1,-0.045610745
conv2d_1,-0.0826324
conv2d_1,-0.017309738
conv2d_1,-0.053015023
conv2d_1,0.059960574
conv2d_1,-0.09464578
conv2d_1,0.06134516
conv2d_1,-0.055794753
conv2d_1,0.023238491
conv2d_1,-0.13013034
conv2d_1,0.043468997
conv2d_1,0.07223502
conv2d_1,0.14454074
conv2d_1,-0.087134235
conv2d_1,0.04078922
conv2d_1,0.019713026
conv2d_1,0.07569342
conv2d_1,-0.09884439
conv2d_1,0.11071802
conv2d_1,-0.09393224
conv2d_1,0.099848755
conv2d_1,0.054847788
conv2d_1,-0.054319084
conv2d_1,0.16055454
conv2d_1,0.05454696
conv2d_1,-0.060583528
conv2d_1,-0.045635886
conv2d_1,0.033255287
conv2d_1,0.02482052
conv2d_1,-0.12406708
conv2d_1,0.078229696
conv2d_1,-0.04084645
conv2d_1,0.10950778
conv2d_1,-0.062422846
conv2d_1,-0.012104928
conv2d_1,-0.032579437
conv2d_1,0.038955186
conv2d_1,-0.07753849
conv2d_1,-0.029486569
conv2d_1,0.17455915
conv2d_1,0.09495044
conv2d_1,0.019889554
conv2d_1,-0.053143516
conv2d_1,0.0041268747
conv2d_1,-0.06316608
conv2d_1,0.053874258
conv2d_1,0.077640004
conv2d_1,-0.07765561
conv2d_1,-0.05021053
conv2d_1,0.059482846
conv2d_1,-0.038655594
conv2d_1,0.019505782
conv2d_1,-0.01147977
conv2d_1,-0.08000661
conv2d_1,0.09977784
